weight_set,eval_dataset,NDCG@10,NDCG@5,Recall@5,MRR@10,N_users,N_pairs
A,A,0.9793575633440395,0.9421051879946243,0.6015873015873014,1.0,10,100
A,B,0.9352438903659733,0.8761918416666775,0.5944444444444444,0.77,10,100
A,C,0.9226709526337592,0.8347989798401478,0.5781746031746031,0.8333333333333333,10,100
A,D,0.970343665501672,0.9043056389168813,0.551984126984127,0.9,10,100
A,E,0.9539849522990606,0.9191383092916287,0.7472222222222222,0.8833333333333332,10,100
B,A,0.9776482204856594,0.940224247771096,0.6015873015873014,1.0,10,100
B,B,0.9322938896820434,0.872784230694333,0.5944444444444444,0.77,10,100
B,C,0.935921410702645,0.8514888385786928,0.5781746031746031,0.8833333333333332,10,100
B,D,0.9564046605799732,0.8884781626707792,0.551984126984127,0.8333333333333333,10,100
B,E,0.9613632205124331,0.9284243262711304,0.7472222222222222,0.8833333333333332,10,100
C,A,0.9685478704101236,0.930210332527969,0.6015873015873014,0.95,10,100
C,B,0.9337749903267081,0.8744950827749444,0.5944444444444444,0.775,10,100
C,C,0.935921410702645,0.8514888385786928,0.5781746031746031,0.8833333333333332,10,100
C,D,0.9564046605799732,0.8884781626707792,0.551984126984127,0.8333333333333333,10,100
C,E,0.9613632205124331,0.9284243262711304,0.7472222222222222,0.8833333333333332,10,100
D,A,0.9776482204856594,0.940224247771096,0.6015873015873014,1.0,10,100
D,B,0.9352438903659733,0.8761918416666775,0.5944444444444444,0.77,10,100
D,C,0.9226709526337592,0.8347989798401478,0.5781746031746031,0.8333333333333333,10,100
D,D,0.970343665501672,0.9043056389168813,0.551984126984127,0.9,10,100
D,E,0.9750225133367181,0.9440349769644122,0.7472222222222222,0.9333333333333332,10,100
E,A,0.9776482204856594,0.940224247771096,0.6015873015873014,1.0,10,100
E,B,0.9352438903659733,0.8761918416666775,0.5944444444444444,0.77,10,100
E,C,0.9226709526337592,0.8347989798401478,0.5781746031746031,0.8333333333333333,10,100
E,D,0.970343665501672,0.9043056389168813,0.551984126984127,0.9,10,100
E,E,0.9621921485722321,0.9294478170481341,0.7472222222222222,0.8833333333333332,10,100
SINGLE,A,0.9793575633440395,0.9421051879946243,0.6015873015873014,1.0,10,100
SINGLE,B,0.9367249910106381,0.8779026937472889,0.5944444444444444,0.775,10,100
SINGLE,C,0.9226709526337592,0.8347989798401478,0.5781746031746031,0.8333333333333333,10,100
SINGLE,D,0.9564046605799732,0.8884781626707792,0.551984126984127,0.8333333333333333,10,100
SINGLE,E,0.9613632205124331,0.9284243262711304,0.7472222222222222,0.8833333333333332,10,100
