setup_id,model,eval_dataset,NDCG@10,NDCG@5,Recall@5,MRR@10,N_users
S11,KURE-v1 (한국어 SOTA),A,0.962428645267113,0.9151636009500888,0.5873015873015872,1.0,10
S11,KURE-v1 (한국어 SOTA),B,0.9172310216611652,0.8433692437382622,0.5652777777777778,0.77,10
S11,KURE-v1 (한국어 SOTA),C,0.8988734450748499,0.7383720828696727,0.4962301587301588,0.8333333333333333,10
S11,KURE-v1 (한국어 SOTA),D,0.939326501019082,0.840838520694858,0.501984126984127,0.8333333333333333,10
S11,KURE-v1 (한국어 SOTA),E,0.936962749726141,0.8718562825620658,0.7194444444444444,0.875,10
S12,Qwen3-Embedding-0.6B,A,0.9577882257577659,0.9123351731857887,0.6015873015873014,0.95,10
S12,Qwen3-Embedding-0.6B,B,0.9025619076963338,0.804989369006984,0.5527777777777778,0.725,10
S12,Qwen3-Embedding-0.6B,C,0.9051131662633564,0.7622052029641254,0.5378968253968254,0.8333333333333333,10
S12,Qwen3-Embedding-0.6B,D,0.9608564749454022,0.8653062779458425,0.508531746031746,0.9,10
S12,Qwen3-Embedding-0.6B,E,0.94320521167194,0.8753742162944619,0.6996031746031746,0.8833333333333332,10
S13,BGE-M3 dense,A,0.9608949001056898,0.9029177937156035,0.5748015873015873,1.0,10
S13,BGE-M3 dense,B,0.9189549149280172,0.8383351055074753,0.5652777777777778,0.77,10
S13,BGE-M3 dense,C,0.8975007365757428,0.7455850188604038,0.5073412698412698,0.825,10
S13,BGE-M3 dense,D,0.9425141321928912,0.8569133174228277,0.5186507936507937,0.8333333333333333,10
S13,BGE-M3 dense,E,0.9383501367455767,0.8634300666964301,0.6718253968253968,0.875,10
S15,ko-sroberta-multitask,A,0.9552780189747399,0.8693032317206754,0.5488095238095239,1.0,10
S15,ko-sroberta-multitask,B,0.8997562989405159,0.806735655449892,0.5027777777777778,0.72,10
S15,ko-sroberta-multitask,C,0.9041205636407931,0.7892389263242132,0.554563492063492,0.8333333333333333,10
S15,ko-sroberta-multitask,D,0.9465843839560625,0.8494788016997404,0.5043650793650793,0.85,10
S15,ko-sroberta-multitask,E,0.9430871855597708,0.8466855664082626,0.620436507936508,0.8833333333333332,10
