weight_set,data_perspective,role,skill,industry,star,context,ndcg10
A,A,0.6,0.3,0.1,0.0,0.0,1.0
A,B,0.6,0.3,0.1,0.0,0.0,0.9711655146914978
A,C,0.6,0.3,0.1,0.0,0.0,0.9647658615185886
A,D,0.6,0.3,0.1,0.0,0.0,0.9415350335223055
A,E,0.6,0.3,0.1,0.0,0.0,0.9992368738640452
B,A,0.2,0.3,0.0,0.5,0.0,0.9929166523302527
B,B,0.2,0.3,0.0,0.5,0.0,1.0
B,C,0.2,0.3,0.0,0.5,0.0,0.9944210818242532
B,D,0.2,0.3,0.0,0.5,0.0,0.904674607970423
B,E,0.2,0.3,0.0,0.5,0.0,0.9890263377791545
C,A,0.2,0.7,0.1,0.0,0.0,0.9845157904697011
C,B,0.2,0.7,0.1,0.0,0.0,0.991374700817043
C,C,0.2,0.7,0.1,0.0,0.0,1.0
C,D,0.2,0.7,0.1,0.0,0.0,0.9394553842469104
C,E,0.2,0.7,0.1,0.0,0.0,0.9992368738640452
D,A,0.2,0.0,0.5,0.0,0.3,0.9835767887214315
D,B,0.2,0.0,0.5,0.0,0.3,0.968086172031364
D,C,0.2,0.0,0.5,0.0,0.3,0.9519416776833209
D,D,0.2,0.0,0.5,0.0,0.3,1.0
D,E,0.2,0.0,0.5,0.0,0.3,0.9996996413420204
E,A,0.2,0.2,0.2,0.2,0.2,0.9844972969515862
E,B,0.2,0.2,0.2,0.2,0.2,0.9691926324238537
E,C,0.2,0.2,0.2,0.2,0.2,0.9669673162340733
E,D,0.2,0.2,0.2,0.2,0.2,0.9956360249199585
E,E,0.2,0.2,0.2,0.2,0.2,0.9999184062808979
