weight_set,A,B,C,D,E,mean
arb_A,1.0,0.9711655146914978,0.9647658615185886,0.9415350335223055,0.9992368738640452,0.9753406567192874
arb_B,0.9929166523302527,1.0,0.9944210818242532,0.904674607970423,0.9890263377791545,0.9762077359808167
arb_C,0.9845157904697011,0.991374700817043,1.0,0.9394553842469104,0.9992368738640452,0.9829165498795399
arb_D,0.9835767887214315,0.968086172031364,0.9519416776833209,1.0,0.9996996413420204,0.9806608559556274
arb_E,0.9844972969515862,0.9691926324238537,0.9669673162340733,0.9956360249199585,0.9999184062808979,0.9832423353620741
gold_A,1.0,0.9800918101752835,0.9498829763705056,0.9293065168250777,0.98786973701764,0.9694302080777014
gold_B,0.9929166523302527,1.0,0.9944210818242532,0.904674607970423,0.9890263377791545,0.9762077359808167
gold_C,0.9834897773984199,0.9911469877740606,1.0,0.9408542128144202,0.999145962958351,0.9829273881890502
gold_D,0.9835767887214315,0.9732054783458878,0.9906646998285522,1.0,0.9993898751800296,0.9893673684151804
gold_E,0.9783747892476029,0.9854074963524571,0.9913184874907245,0.9710485928759687,1.0,0.9852298731933506
