weight_set,perspective,ndcg10,ndcg5,recall5,mrr10
arb_A,A,1.0,1.0,0.6617063492063491,1.0
arb_A,B,0.9711655146914978,0.9522843280337359,0.6055555555555555,0.7833333333333333
arb_A,C,0.9647658615185886,0.9063090322464749,0.5823412698412699,0.9
arb_A,D,0.9415350335223055,0.8657016634347421,0.5168650793650793,0.7666666666666666
arb_A,E,0.9992368738640452,0.9966086318830264,0.7615079365079366,1.0
arb_B,A,0.9929166523302527,0.9808216816314331,0.6283730158730159,1.0
arb_B,B,1.0,1.0,0.6888888888888889,0.9
arb_B,C,0.9944210818242532,0.9826551618871644,0.6632936507936507,1.0
arb_B,D,0.904674607970423,0.808217043548562,0.4859126984126984,0.65
arb_B,E,0.9890263377791545,0.9697640429244787,0.7448412698412699,1.0
arb_C,A,0.9845157904697011,0.9657824226239757,0.6117063492063493,0.9333333333333332
arb_C,B,0.991374700817043,0.9901156751943734,0.6888888888888889,0.85
arb_C,C,1.0,1.0,0.6775793650793651,1.0
arb_C,D,0.9394553842469104,0.8657016634347421,0.5168650793650793,0.7666666666666666
arb_C,E,0.9992368738640452,0.9966086318830264,0.7615079365079366,1.0
arb_D,A,0.9835767887214315,0.947303123867197,0.6349206349206349,1.0
arb_D,B,0.968086172031364,0.9387640953991481,0.5055555555555555,0.8125
arb_D,C,0.9519416776833209,0.8903454072284545,0.5865079365079364,0.8333333333333333
arb_D,D,1.0,1.0,0.6478174603174603,0.9
arb_D,E,0.9996996413420204,1.0,0.7781746031746033,1.0
arb_E,A,0.9844972969515862,0.954840609909032,0.6325396825396825,1.0
arb_E,B,0.9691926324238537,0.9458313253553234,0.5555555555555556,0.7642857142857142
arb_E,C,0.9669673162340733,0.9150392590074574,0.603174603174603,0.9
arb_E,D,0.9956360249199585,0.9792044929483714,0.6168650793650794,0.9
arb_E,E,0.9999184062808979,1.0,0.7781746031746033,1.0
gold_A,A,1.0,1.0,0.6617063492063491,1.0
gold_A,B,0.9800918101752835,0.9620560054807633,0.5722222222222222,0.9
gold_A,C,0.9498829763705056,0.8814948202883549,0.5698412698412698,0.85
gold_A,D,0.9293065168250777,0.8518684103122041,0.5168650793650793,0.7
gold_A,E,0.98786973701764,0.9714525190522771,0.7115079365079365,0.9199999999999999
gold_B,A,0.9929166523302527,0.9808216816314331,0.6283730158730159,1.0
gold_B,B,1.0,1.0,0.6888888888888889,0.9
gold_B,C,0.9944210818242532,0.9826551618871644,0.6632936507936507,1.0
gold_B,D,0.904674607970423,0.808217043548562,0.4859126984126984,0.65
gold_B,E,0.9890263377791545,0.9697640429244787,0.7448412698412699,1.0
gold_C,A,0.9834897773984199,0.9584790051318404,0.5950396825396825,0.9333333333333332
gold_C,B,0.9911469877740606,0.9901156751943734,0.6888888888888889,0.85
gold_C,C,1.0,1.0,0.6775793650793651,1.0
gold_C,D,0.9408542128144202,0.8674650448942997,0.5168650793650793,0.7666666666666666
gold_C,E,0.999145962958351,0.9966086318830264,0.7615079365079366,1.0
gold_D,A,0.9835767887214315,0.947303123867197,0.6349206349206349,1.0
gold_D,B,0.9732054783458878,0.9500109756395319,0.5555555555555556,0.8125
gold_D,C,0.9906646998285522,0.9821344059485957,0.6632936507936507,0.95
gold_D,D,1.0,1.0,0.6478174603174603,0.9
gold_D,E,0.9993898751800296,1.0,0.7781746031746033,1.0
gold_E,A,0.9783747892476029,0.9457167641278893,0.5950396825396825,0.9333333333333332
gold_E,B,0.9854074963524571,0.9712127836260913,0.6055555555555555,0.82
gold_E,C,0.9913184874907245,0.9821344059485957,0.6632936507936507,0.95
gold_E,D,0.9710485928759687,0.927878126884335,0.5668650793650793,0.8333333333333334
gold_E,E,1.0,1.0,0.7781746031746033,1.0
