pool_size,weight,ndcg_A,ndcg_B,ndcg_C,ndcg_D,ndcg_E,ndcg_mean
50,arbitrary,0.9889,0.903,0.913,0.9887,0.9762,0.954
50,golden,0.9995,0.9888,0.9963,0.9999,0.9762,0.9922
50,learned,0.9986,0.9939,0.9973,0.9998,0.9922,0.9964
100,arbitrary,0.9786,0.9069,0.8616,0.9875,0.9925,0.9454
100,golden,0.9997,0.9896,0.9912,0.9998,0.9925,0.9946
100,learned,0.9988,0.9936,0.9937,0.9999,0.9933,0.9958
200,arbitrary,0.9865,0.9093,0.828,0.9889,0.9966,0.9418
200,golden,0.9995,0.9908,0.992,0.9999,0.9966,0.9958
200,learned,0.9993,0.994,0.9946,0.9998,0.9913,0.9958
500,arbitrary,0.9891,0.8758,0.8339,0.9848,0.9969,0.9361
500,golden,0.9983,0.9941,0.9971,0.9998,0.9969,0.9972
500,learned,0.998,0.9954,0.997,1.0,0.9853,0.9951
1000,arbitrary,0.9891,0.9106,0.8197,0.9818,0.9976,0.9398
1000,golden,0.9986,0.9986,0.9978,0.9998,0.9976,0.9985
1000,learned,0.9985,0.9955,0.9958,1.0,0.9866,0.9953
2000,arbitrary,0.9914,0.9252,0.8051,0.9723,0.997,0.9382
2000,golden,0.9993,0.9989,0.9964,1.0,0.997,0.9983
2000,learned,0.9994,0.9944,0.9937,1.0,0.9887,0.9952
3000,arbitrary,0.9954,0.9286,0.7926,0.9723,0.9967,0.9371
3000,golden,0.9996,0.9986,0.9962,1.0,0.9967,0.9982
3000,learned,0.9998,0.9927,0.9935,1.0,0.9914,0.9955
