pair_id,userId,job_id,user_idx,role_match,hard_skill,industry_match,star_overlap,competency,arb_E,gold_E,learn_E,llm_label,v2_score
P0247__309860,P0247,309860,0,1.0,0.0,0.0,0.261,0.0,0.2521739130434782,0.2521739130434782,1.6035012141513096,1,-0.6182289123535156
P0247__306861,P0247,306861,0,1.0,0.0,0.0,0.259,0.8,0.4118518518518519,0.4118518518518519,2.011252397866913,3,1.0152840614318848
P0247__310532,P0247,310532,0,1.0,0.125,0.0,0.363,1.0,0.4975806451612903,0.4975806451612903,2.2810131242149883,4,2.1129653453826904
P0247__311352,P0247,311352,0,0.0,0.0,1.0,0.307,0.8,0.4213636363636364,0.4213636363636364,2.021611244712141,1,1.0387887954711914
P0247__306564,P0247,306564,0,0.0,0.0,1.0,0.162,1.0,0.4324324324324324,0.4324324324324324,2.1235490406410413,1,1.2997255325317383
P0247__307378,P0247,307378,0,0.0,0.0,0.0,0.188,1.0,0.2375,0.2375,0.5096889796445037,0,-2.325070858001709
P0247__306763,P0247,306763,0,0.0,0.176,0.0,0.19,0.667,0.2066021345246959,0.2066021345246959,0.576719143099877,1,-2.3230931758880615
P0247__311962,P0247,311962,0,0.0,0.0,0.0,0.324,0.667,0.1980392156862745,0.1980392156862745,0.3397926530963358,0,-2.6273207664489746
P0247__309003,P0247,309003,0,0.0,0.0,0.0,0.345,0.5,0.1689655172413793,0.1689655172413793,0.2548444898222518,1,-2.773465394973755
P0247__309321,P0247,309321,0,0.0,0.0,0.0,0.266,0.0,0.0531645569620253,0.0531645569620253,0.0,0,-3.2617764472961426
P0577__309156,P0577,309156,1,1.0,0.0,1.0,0.402,1.0,0.6804878048780488,0.6804878048780488,3.727050254792351,4,4.346861839294434
P0577__311285,P0577,311285,1,1.0,0.167,1.0,0.434,1.0,0.7201754385964912,0.7201754385964912,3.950814162017918,2,4.842451095581055
P0577__306853,P0577,306853,1,1.0,0.053,0.0,0.275,1.0,0.4655263157894737,0.4655263157894737,2.1838524802880976,2,1.3701398372650146
P0577__308786,P0577,308786,1,0.0,0.0,1.0,0.259,0.75,0.4018518518518519,0.4018518518518519,1.9961267957299156,1,0.784913957118988
P0577__307353,P0577,307353,1,0.0,0.0,1.0,0.207,0.75,0.3913793103448276,0.3913793103448276,1.9961267957299156,1,0.5901415944099426
P0577__310132,P0577,310132,1,0.0,0.0,0.0,0.324,1.0,0.2648648648648649,0.2648648648648649,0.5096889796445037,0,-2.1313438415527344
P0577__311004,P0577,311004,1,0.0,0.333,0.0,0.408,1.0,0.3482666666666667,0.3482666666666667,0.9572167940956372,1,-0.8477222323417664
P0577__305746,P0577,305746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.5017194747924805
P0577__310136,P0577,310136,1,0.0,0.0,0.0,0.254,0.0,0.0507042253521126,0.0507042253521126,0.0,0,-3.272595167160034
P0577__306893,P0577,306893,1,0.0,0.0,0.0,0.441,0.0,0.088235294117647,0.088235294117647,0.0,0,-3.2103395462036133
P0123__311373,P0123,311373,2,1.0,0.111,1.0,0.379,1.0,0.6979503775620282,0.6979503775620282,3.8762261929427297,4,4.6447930335998535
P0123__309354,P0123,309354,2,1.0,0.0,0.0,0.325,1.0,0.4650602409638554,0.4650602409638554,2.1131901937958135,3,1.4419071674346924
P0123__306656,P0123,306656,2,1.0,0.444,0.0,0.224,0.5,0.433665008291874,0.433665008291874,2.4550494565750727,2,1.5921647548675537
P0123__311105,P0123,311105,2,0.0,0.2,1.0,0.231,1.0,0.4861538461538462,0.4861538461538462,2.392065729311722,1,2.0525007247924805
P0123__308084,P0123,308084,2,0.0,0.0,1.0,0.142,0.8,0.3883018867924528,0.3883018867924528,2.021611244712141,1,0.7357117533683777
P0123__307263,P0123,307263,2,0.0,0.0,0.0,0.153,1.0,0.2305084745762712,0.2305084745762712,0.5096889796445037,0,-2.4019439220428467
P0123__310878,P0123,310878,2,0.0,0.0,0.0,0.224,1.0,0.244776119402985,0.244776119402985,0.5096889796445037,0,-2.321777820587158
P0123__304645,P0123,304645,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.5065224170684814
P0123__311905,P0123,311905,2,0.0,0.0,0.0,0.145,1.0,0.2290322580645161,0.2290322580645161,0.5096889796445037,0,-2.361217975616455
P0123__301886,P0123,301886,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.4576797485351562
P0765__311005,P0765,311005,3,1.0,0.0,0.0,0.411,0.0,0.2821052631578947,0.2821052631578947,1.6035012141513096,2,-0.5037224292755127
P0765__310892,P0765,310892,3,1.0,0.0,0.0,0.158,1.0,0.431578947368421,0.431578947368421,2.1131901937958135,2,1.0556384325027466
P0765__310277,P0765,310277,3,1.0,0.0,0.0,0.218,0.0,0.2436363636363636,0.2436363636363636,1.6035012141513096,2,-0.8943773508071899
P0765__309693,P0765,309693,3,0.0,0.0,1.0,0.276,1.0,0.4552631578947368,0.4552631578947368,2.1235490406410413,2,1.1851128339767456
P0765__309524,P0765,309524,3,0.0,0.182,1.0,0.411,0.75,0.4686217008797654,0.4686217008797654,2.2402328763396246,2,1.79349946975708
P0765__309470,P0765,309470,3,0.0,0.0,0.0,0.165,0.8,0.192967032967033,0.192967032967033,0.4077511837156029,0,-2.7008585929870605
P0765__307167,P0765,307167,3,0.0,0.0,0.0,0.231,0.75,0.1961538461538461,0.1961538461538461,0.3822667347333777,0,-2.5638813972473145
P0765__308489,P0765,308489,3,0.0,0.0,0.0,0.15,0.667,0.1633333333333333,0.1633333333333333,0.3397926530963358,0,-2.8476877212524414
P0765__309164,P0765,309164,3,0.0,0.222,0.0,0.233,1.0,0.2911111111111111,0.2911111111111111,0.8080408559452594,0,-1.2374663352966309
P0765__311282,P0765,311282,3,0.0,0.0,0.0,0.447,1.0,0.2893617021276596,0.2893617021276596,0.5096889796445037,0,-1.7504291534423828
P0444__311686,P0444,311686,4,1.0,0.0,0.0,0.345,1.0,0.4689655172413793,0.4689655172413793,2.1131901937958135,2,1.4003815650939941
P0444__308685,P0444,308685,4,1.0,0.0,0.0,0.034,0.5,0.3068965517241379,0.3068965517241379,1.8583457039735616,0,0.07509616762399673
P0444__308015,P0444,308015,4,1.0,0.0,0.0,0.34,0.0,0.2679245283018868,0.2679245283018868,1.6035012141513096,2,-0.49434784054756165
P0444__311023,P0444,311023,4,0.0,0.0,1.0,0.11,0.75,0.3719512195121951,0.3719512195121951,1.9961267957299156,2,0.5856034755706787
P0444__309043,P0444,309043,4,0.0,0.125,1.0,0.491,1.0,0.5231818181818182,0.5231818181818182,2.2913719710602165,4,2.2105751037597656
P0444__309039,P0444,309039,4,0.0,0.1,0.0,0.237,1.0,0.2673684210526316,0.2673684210526316,0.6439473239798438,0,-1.8834285736083984
P0444__307065,P0444,307065,4,0.0,0.0,0.0,0.276,1.0,0.2551724137931034,0.2551724137931034,0.5096889796445037,0,-1.930631399154663
P0444__306156,P0444,306156,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.41084361076355
P0444__303454,P0444,303454,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.4678330421447754
P0444__304473,P0444,304473,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.526095390319824
P0717__311860,P0717,311860,5,1.0,0.0,0.0,0.39,0.0,0.2779220779220779,0.2779220779220779,1.6035012141513096,2,-0.3473048806190491
P0717__308819,P0717,308819,5,1.0,0.0,0.0,0.37,1.0,0.473972602739726,0.473972602739726,2.1131901937958135,2,1.7892048358917236
P0717__307263,P0717,307263,5,1.0,0.0,0.0,0.153,1.0,0.4305084745762712,0.4305084745762712,2.1131901937958135,1,1.3437864780426025
P0717__306412,P0717,306412,5,0.0,0.0,1.0,0.25,0.0,0.25,0.25,1.613860060996538,0,-0.5557711720466614
P0717__310219,P0717,310219,5,0.0,0.0,1.0,0.241,1.0,0.4482142857142857,0.4482142857142857,2.1235490406410413,0,1.4582465887069702
P0717__311286,P0717,311286,5,0.0,0.5,0.0,0.533,0.75,0.3566666666666667,0.3566666666666667,1.0535584564100782,1,-0.47065919637680054
P0717__311007,P0717,311007,5,0.0,0.0,0.0,0.429,1.0,0.2857142857142857,0.2857142857142857,0.5096889796445037,0,-1.7838835716247559
P0717__310217,P0717,310217,5,0.0,0.1,0.0,0.466,1.0,0.3132432432432432,0.3132432432432432,0.6439473239798438,2,-1.3111881017684937
P0717__309722,P0717,309722,5,0.0,0.0,0.0,0.429,0.75,0.2357142857142857,0.2357142857142857,0.3822667347333777,0,-2.2547719478607178
P0717__304607,P0717,304607,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-3.3256282806396484
P0841__310030,P0841,310030,6,1.0,0.25,0.0,0.282,1.0,0.5064705882352942,0.5064705882352942,2.448836054634163,4,2.2486894130706787
P0841__310340,P0841,310340,6,1.0,0.0,0.0,0.284,0.6,0.3768421052631578,0.3768421052631578,1.909314601938012,2,0.5647265315055847
P0841__307362,P0841,307362,6,1.0,0.2,0.0,0.161,1.0,0.4721428571428571,0.4721428571428571,2.3817068824664935,2,1.8891468048095703
P0841__311152,P0841,311152,6,0.0,0.1,1.0,0.152,1.0,0.4503797468354431,0.4503797468354431,2.2578073849763816,1,1.5963714122772217
P0841__306847,P0841,306847,6,0.0,0.0,1.0,0.153,0.667,0.3639455782312925,0.3639455782312925,1.9536527140928737,1,0.5949721932411194
P0841__311058,P0841,311058,6,0.0,0.0,0.0,0.257,0.25,0.1014285714285714,0.1014285714285714,0.1274222449111259,0,-3.0155630111694336
P0841__311013,P0841,311013,6,0.0,0.111,0.0,0.241,0.75,0.2204980842911877,0.2204980842911877,0.5314426728837556,0,-2.3464784622192383
P0841__308913,P0841,308913,6,0.0,0.0,0.0,0.167,0.667,0.1666666666666666,0.1666666666666666,0.3397926530963358,0,-2.7949438095092773
P0841__306180,P0841,306180,6,0.0,0.0,0.0,0.429,0.0,0.0857142857142857,0.0857142857142857,0.0,0,-3.2343969345092773
P0841__308399,P0841,308399,6,0.0,0.0,0.0,0.245,0.0,0.0489795918367347,0.0489795918367347,0.0,0,-3.1533429622650146
P0235__308973,P0235,308973,7,1.0,0.0,0.0,0.141,0.0,0.228235294117647,0.228235294117647,1.6035012141513096,1,-0.9269984364509583
