backbone,arch,loss,wd,ndcg_A,ndcg_B,ndcg_C,ndcg_D,ndcg_E,ndcg_mean,final_loss,train_time_s
qwen3,mlp,rank,0.001,0.9989,0.9765,0.9656,0.9985,0.9995,0.9878,0.0098,39.7
kure,mlp,rank,0.001,0.9985,0.977,0.9665,0.9979,0.9993,0.9878,0.011,32.3
kure,mlp,mse,0.001,0.9993,0.9727,0.9668,0.9997,0.9994,0.9876,0.0487,4.0
qwen3,mlp,mse,0.001,0.9993,0.9726,0.9664,0.9997,0.9992,0.9875,0.0456,4.2
kure,mlp,mse,0.0,0.9993,0.9719,0.9644,0.9997,0.9983,0.9867,0.0586,3.9
qwen3,mlp,mse,0.0,0.9995,0.9706,0.964,0.9997,0.9979,0.9863,0.0566,4.9
qwen3,mlp,rank,0.0,0.9993,0.9742,0.9623,0.9979,0.9973,0.9862,0.011,40.6
kure,mlp,rank,0.0,0.9986,0.9737,0.9631,0.9981,0.9977,0.9862,0.0118,32.5
kure,linear,mse,0.001,0.9869,0.9185,0.9031,0.9628,0.9565,0.9456,0.5721,3.3
kure,linear,mse,0.0,0.9853,0.9166,0.9012,0.9599,0.9535,0.9433,0.5707,3.1
kure,linear,rank,0.001,0.9712,0.9202,0.9028,0.9477,0.9455,0.9375,0.3063,34.9
qwen3,linear,mse,0.001,0.9612,0.9213,0.9036,0.9387,0.9441,0.9338,0.5555,3.1
qwen3,linear,mse,0.0,0.9602,0.9198,0.9021,0.9365,0.9422,0.9322,0.5554,4.3
kure,linear,rank,0.0,0.9645,0.9099,0.8941,0.9402,0.9364,0.929,0.306,36.0
qwen3,linear,rank,0.001,0.9274,0.9002,0.89,0.8989,0.9132,0.9059,0.3031,44.5
qwen3,linear,rank,0.0,0.9154,0.8904,0.8825,0.8837,0.9012,0.8947,0.3003,47.1
